city,country,lat,lon,temp,humidity,cloudiness,wind speed,date
Salta,AR,-24.79,-65.41,22.58,40,20,1.5,1554577200
Northam,GB,51.04,-4.21,9.45,76,40,5.1,1554581482
San Quintin,PH,17.54,120.52,20.31,83,8,1.62,1554581584
Porto Tolle,IT,44.95,12.32,10.97,93,0,2.1,1554581507
Isiro,CD,2.77,27.62,22.91,86,12,0.87,1554581585
Oussouye,SN,12.49,-16.54,27.05,64,0,4.1,1554577200
Nome,US,30.04,-94.42,26.71,58,1,5.1,1554581265
Xuddur,SO,4.12,43.89,23.56,36,0,3.17,1554581585
Kahului,US,20.89,-156.47,25.1,54,20,2.1,1554581436
Yanam,IN,16.73,82.22,25.46,87,20,1.82,1554581586
Bonthe,SL,7.53,-12.5,28.06,82,80,2.02,1554581586
Manavalakurichi,IN,8.13,77.3,30.0,74,20,1.5,1554579000
Bonavista,CA,48.65,-53.11,3.33,43,88,4.92,1554580812
Mount Gambier,AU,-37.83,140.78,8.0,93,40,4.6,1554577200
Champerico,MX,16.38,-93.6,34.0,32,40,3.1,1554577260
Hambantota,LK,6.12,81.12,26.76,100,8,2.77,1554581587
Miles City,US,46.41,-105.84,18.21,34,1,7.7,1554581486
Walvis Bay,NA,-22.95,14.51,14.77,82,0,2.6,1554580927
Nadym,RU,65.53,72.51,-2.04,89,80,9.12,1554581588
Verkhoyansk,RU,67.55,133.39,-15.39,59,12,1.17,1554581588
Nuevitas,CU,21.55,-77.27,30.0,51,40,6.2,1554576600
Livingston,US,32.58,-88.19,22.16,88,90,3.6,1554580838
Qasigiannguit,GL,68.82,-51.19,4.0,44,75,9.8,1554576600
Mudgee,AU,-32.6,149.59,11.21,100,40,2.52,1554580869
Poum,MK,41.28,20.71,11.0,62,75,2.1,1554577200
The Valley,AI,18.22,-63.06,27.9,57,40,8.2,1554580936
Dawei,MM,14.07,98.19,24.06,93,0,0.62,1554581589
Cayenne,GF,4.94,-52.33,27.0,78,75,6.2,1554579000
Benguela,AO,-12.58,13.4,26.66,100,76,4.12,1554581590
Yinchuan,CN,38.48,106.21,13.89,16,64,0.89,1554581565
Wajir,KE,1.75,40.07,26.66,53,8,2.22,1554581590
Hokitika,NZ,-42.72,170.96,10.61,100,0,3.12,1554581591
Roviai,GR,38.82,23.23,12.32,81,75,2.6,1554581587
Vila Velha,BR,-3.71,-38.6,26.81,78,75,5.1,1554581293
Oyama,JP,36.31,139.8,11.09,71,75,4.6,1554581319
Semirom,IR,31.41,51.57,1.16,78,12,1.42,1554581592
Kovdor,RU,67.56,30.47,0.06,88,76,1.67,1554581592
Tessalit,ML,20.2,1.01,22.11,20,0,3.42,1554581592
Butembo,CD,0.12,29.29,17.01,88,0,0.52,1554581592
San Cristobal,EC,-0.39,-78.55,17.47,46,75,2.6,1554580876
Kamenka,RU,53.19,44.05,3.89,83,92,2.17,1554581020
Knysna,ZA,-34.04,23.05,14.0,93,0,1.0,1554577200
Turan,RU,52.15,93.92,-3.19,92,88,0.97,1554581594
Venezuela,CU,21.74,-78.8,30.06,65,64,4.27,1554581594
Keti Bandar,PK,24.14,67.45,27.46,89,0,5.92,1554581595
Camalu,MX,30.85,-116.07,20.56,46,0,6.57,1554581595
Kondinskoye,RU,59.65,67.41,-5.29,80,8,2.07,1554581595
Naron,ES,43.52,-8.15,7.79,81,40,4.6,1554581472
Monrovia,LR,6.33,-10.8,28.0,83,40,3.62,1554579000
Bosobolo,CD,4.19,19.88,25.56,73,0,3.17,1554581596
Dunedin,NZ,-45.87,170.5,10.56,59,0,4.92,1554581368
Dnestrovsc,MD,46.62,29.91,9.0,61,0,2.0,1554579000
Saryg-Sep,RU,51.49,95.55,-3.19,79,68,0.82,1554581597
Pimentel,BR,-3.7,-45.5,23.31,97,92,1.42,1554581597
Sibiti,CG,-3.69,13.35,22.81,97,64,1.37,1554581597
Novyy Urengoy,RU,66.08,76.63,-3.04,92,68,7.42,1554581597
Vienenburg,DE,51.95,10.56,11.74,65,0,4.27,1554581481
San Andres,PH,13.32,122.68,27.76,100,92,3.17,1554581598
Francisco Beltrao,BR,-26.08,-53.05,22.76,81,88,1.82,1554581598
Avera,US,33.19,-82.53,21.01,93,90,3.1,1554581466
Vardo,US,39.62,-77.74,18.35,52,20,1.52,1554581597
Tomatlan,MX,19.93,-105.25,29.01,52,0,1.97,1554581599
Ust-Kulom,RU,61.69,53.69,-3.09,80,0,2.47,1554581599
Madera,US,36.96,-120.06,20.2,46,1,1.5,1554581306
Bathsheba,BB,13.22,-59.52,28.0,61,40,10.8,1554577200
Dobryanka,RU,58.45,56.42,1.0,80,0,4.0,1554579000
Pakxan,LA,18.39,103.66,21.06,89,0,0.97,1554581599
Cernavoda,RO,44.34,28.03,7.39,100,76,2.6,1554581418
Ambunti,PG,-4.22,142.82,24.61,99,68,0.97,1554581600
Tiksi,RU,71.64,128.87,-12.94,78,0,1.27,1554581600
Erenhot,CN,43.65,111.97,1.61,63,92,6.12,1554581600
Trat,TH,12.25,102.51,29.94,65,80,2.07,1554581493
Paamiut,GL,61.99,-49.67,1.31,88,24,17.47,1554581601
Nelson Bay,AU,-32.72,152.14,19.01,88,0,2.6,1554581447
Vanavara,RU,60.35,102.28,-6.69,84,0,2.72,1554581601
Antofagasta,CL,-23.65,-70.4,18.0,77,90,6.2,1554577200
Eydhafushi,MV,5.1,73.07,29.31,100,80,2.32,1554581602
Grindavik,IS,63.84,-22.43,5.19,65,75,5.7,1554581217
Zhigansk,RU,66.77,123.37,-9.94,73,0,2.07,1554581459
Noumea,NC,-22.28,166.46,19.0,93,92,0.5,1554579000
Coquimbo,CL,-29.95,-71.34,17.0,82,40,7.2,1554577200
Lana,IT,46.61,11.16,1.06,92,90,1.5,1554581519
Hovd,NO,63.83,10.7,4.64,60,75,6.7,1554581464
Tuatapere,NZ,-46.13,167.69,3.33,93,0,2.12,1554581405
Cervo,BR,-22.19,-46.24,22.0,100,75,1.5,1554577200
Dwarka,IN,28.58,77.04,32.64,40,40,1.87,1554579907
Aksarka,RU,66.56,67.8,-3.59,83,0,8.87,1554581604
Ginir,ET,7.14,40.71,13.66,75,0,1.17,1554581604
Partur,IN,19.59,76.21,24.11,33,0,3.67,1554581604
Novyy Urgal,RU,51.07,132.56,-8.79,63,20,1.32,1554581605
Falam,MM,22.91,93.68,13.71,89,8,1.02,1554581605
Sao Joao da Barra,BR,-21.64,-41.05,32.0,59,20,6.7,1554577200
Anloga,GH,5.79,0.9,29.0,83,20,6.2,1554577200
Wabana,CA,47.63,-52.95,3.27,35,90,6.7,1554581604
Piopio,CL,-42.79,-73.57,15.0,87,92,3.1,1554577200
Chapais,CA,49.78,-74.86,0.0,73,75,5.7,1554578100
Pundaguitan,PH,6.37,126.17,26.11,100,56,3.37,1554581606
Malibu,US,33.61,-84.48,22.25,64,75,3.6,1554581604
Grand-Santi,GF,4.27,-54.38,25.36,91,44,1.27,1554581607
Aleppo,SY,36.2,37.17,13.41,88,92,1.87,1554581607
Douglas,US,31.34,-109.55,17.47,32,90,1.67,1554581559
Edgewater,US,28.99,-80.9,29.69,61,20,6.2,1554581532
Pozo Colorado,PY,-23.49,-58.8,20.86,84,8,4.37,1554581608
Nalbari,IN,26.45,91.44,24.0,83,75,1.67,1554579000
Orangeburg,US,33.49,-80.86,21.52,53,1,2.1,1554581700
Alcudia,ES,39.85,3.12,12.69,71,40,4.1,1554581048
Saravan,AM,39.72,45.65,8.61,93,90,3.1,1554579000
Grand Gaube,MU,-20.01,57.66,26.44,74,75,5.1,1554581340
Sangmelima,CM,2.93,11.98,23.91,84,44,1.57,1554581610
Saint-Paul,FR,45.22,1.9,3.97,93,75,0.5,1554581419
Kigoma,TZ,-4.88,29.64,24.96,100,12,1.22,1554581610
Chhatarpur,IN,24.92,79.59,20.66,75,80,1.37,1554581611
Horn,AT,48.66,15.66,7.86,70,0,2.1,1554581607
Alugan,PH,12.22,125.48,25.61,99,92,4.22,1554581611
Emerald,AU,-23.53,148.16,17.11,93,0,1.5,1554581286
Capinopolis,BR,-18.68,-49.57,25.11,92,36,1.72,1554581612
Mogadishu,SO,2.04,45.34,28.26,100,0,5.97,1554581612
Raichur,IN,16.2,77.36,21.71,79,0,0.97,1554581612
Bawku,GH,11.06,-0.24,30.21,50,48,2.42,1554581612
Anamur,TR,36.08,32.84,15.0,93,75,1.0,1554580200
Tsabong,BW,-26.02,22.4,17.31,39,0,1.77,1554581613
Humen,CN,22.82,113.67,24.33,83,20,3.1,1554581590
Skerries,IE,53.58,-6.11,4.47,93,0,2.6,1554581530
Daru,SL,7.99,-10.85,27.66,69,12,3.57,1554581613
Jinchang,CN,38.52,102.19,3.06,58,64,1.52,1554581614
Yumen,CN,40.29,97.04,8.76,40,76,2.37,1554581515
Saint-Joseph,FR,43.56,6.97,7.21,93,92,1.5,1554581284
Pleshanovo,RU,57.46,28.17,5.0,48,20,2.0,1554577200
Fort Smith,US,35.39,-94.42,20.35,68,90,2.6,1554581388
Port Blair,IN,11.67,92.75,28.66,100,0,1.42,1554581396
Tutoia,BR,-2.76,-42.27,28.0,78,40,3.6,1554577200
Acapulco,MX,16.86,-99.88,28.0,74,20,7.2,1554576480
Phetchaburi,TH,13.1,99.94,29.46,100,0,5.67,1554581615
San Martin,US,37.08,-121.61,17.32,68,20,4.1,1554581614
Camapua,BR,-19.53,-54.04,25.31,81,76,2.57,1554581615
Sawtell,AU,-30.38,153.1,15.76,93,0,1.67,1554581610
Saint-Francois,FR,46.42,3.91,8.59,66,0,2.1,1554580849
Mangan,IN,27.5,88.54,-0.69,90,92,0.62,1554581616
Mamakan,RU,57.82,114.02,-13.94,71,0,0.97,1554581616
Dingzhou,CN,38.51,115.0,12.0,32,0,1.0,1554577200
Vila,IT,45.18,8.4,11.4,81,0,2.6,1554581604
Nuuk,GL,64.17,-51.74,5.0,52,75,7.2,1554576600
Misratah,LY,32.38,15.09,14.56,95,20,2.77,1554581515
Launceston,AU,-41.43,147.14,11.17,81,90,3.6,1554581469
Cananea,MX,30.98,-110.3,16.9,31,90,3.6,1554581559
Maple Creek,CA,49.91,-109.46,12.41,45,0,9.02,1554581618
Voyvozh,RU,62.89,54.96,-7.14,63,0,3.42,1554581618
Kalawit,PH,7.91,122.53,23.86,92,100,1.22,1554581618
Canto do Buriti,BR,-8.11,-42.94,27.16,77,68,2.22,1554581486
Vao,EE,59.1,26.19,1.01,76,0,1.62,1554581618
Santa Quiteria,ES,37.67,-1.69,10.76,73,20,0.89,1554581561
Zima,RU,53.93,102.05,-6.24,52,0,3.22,1554581619
Seymchan,RU,62.93,152.39,-10.54,73,32,1.62,1554581619
Waddan,LY,29.16,16.14,14.86,63,0,1.52,1554581619
Ondangwa,NA,-17.91,15.98,28.0,26,44,0.5,1554577200
Marshfield,US,42.09,-70.71,17.91,48,0,6.7,1554581550
Nea Peramos,GR,38.0,23.42,12.94,76,75,3.1,1554581615
Ust-Nera,RU,64.57,143.24,-13.74,67,36,0.97,1554581620
Conceicao do Araguaia,BR,-8.26,-49.26,28.61,76,76,1.32,1554581407
Taft,PH,11.9,125.42,25.61,99,92,4.22,1554581620
Esmeraldas,BR,-19.76,-44.31,27.44,61,40,2.6,1554581222
Saint-Pierre,FR,48.95,4.24,10.25,66,0,4.1,1554581525
Iracoubo,GF,5.48,-53.21,25.61,81,92,2.57,1554581621
Dzhebariki-Khaya,RU,62.22,135.8,-8.79,76,0,1.07,1554581621
Albanel,CA,48.88,-72.44,6.0,52,75,6.2,1554577200
Fort Nelson,CA,58.81,-122.69,-2.0,74,90,1.0,1554578760
Snyder,US,32.72,-100.92,24.08,53,1,4.6,1554581402
Ukiah,US,39.15,-123.21,13.36,77,90,3.6,1554581309
